# 标准病库格式
# 格式：疾病名|关键词1,关键词2,关键词3|优先级
# 关键词用逗号分隔，优先级1-100

# 呼吸系统
脑梗死|安静中起病,偏瘫,失语,口角歪斜,意识障碍|95
脑出血|活动或激动时起病,剧烈头痛,呕吐,偏瘫,意识障碍快速加深|95
蛛网膜下腔出血|剧烈头痛,炸裂样头痛,恶心,呕吐,颈项强直,意识障碍,脑膜刺激征,CT高密度影|95
短暂性脑缺血发作|一过性肢体无力,黑矇,言语不清,症状持续小于24小时|90
偏头痛|反复发作的单侧搏动性头痛,恶心,畏光,畏声|70
紧张性头痛|双侧头部紧箍样或压迫性钝痛,不伴恶心|60
癫痫|突然意识丧失,四肢抽搐,口吐白沫,尿失禁,舌咬伤|90
面神经炎|急性一侧面部表情肌瘫痪,额纹消失,闭眼不全|70
三叉神经痛|面部突发短暂电击样剧痛,有扳机点|75
多发性硬化|反复发作的中枢神经症状,视力减退,复视,肢体无力,感觉异常|80
重症肌无力|波动性骨骼肌无力,晨轻暮重,眼外肌受累,上睑下垂|80
脑膜炎|发热,剧烈头痛,呕吐,颈项强直,脑膜刺激征阳性|95
颅内肿瘤|缓慢加重的头痛,癫痫,局灶性神经功能缺损|85
良性阵发性位置性眩晕|眩晕,体位改变诱发,天旋地转,短暂发作,Dix-Hallpike,耳石症,头位变化|78
帕金森病|静止性震颤,肌强直,运动迟缓,面具脸,慌张步态,写字过小征|75
阿尔茨海默病|记忆力减退,近事遗忘,认知障碍,失语,失用,定向力障碍,老年痴呆|72
吉兰巴雷综合征|急性对称性四肢迟缓性瘫痪,手套袜套样感觉异常,脑脊液蛋白细胞分离|90
急性脊髓炎|截瘫,传导束型感觉缺失,大小便障碍|90
运动神经元病|进行性肌无力萎缩,球麻痹,锥体束征,感觉正常|80
脑膜瘤|慢性头痛,癫痫,局灶神经缺损,MRI均匀强化|75
垂体瘤|视力视野障碍,闭经泌乳,肢端肥大,内分泌异常|80
丛集性头痛|单侧眶周剧烈灼痛,结膜充血流泪,定时发作|75
前庭神经炎|突发剧烈旋转性眩晕,无听力障碍,持续数日|75

# 消化系统
急性阑尾炎|右下腹痛,转移性右下腹痛,麦氏点压痛,反跳痛,恶心,呕吐,发热|90
急性胰腺炎|上腹痛,放射痛,淀粉酶升高,恶心呕吐|85
胆囊炎|右上腹痛,Murphy征阳性,油腻饮食后加重,恶心呕吐|80
胆石症|右上腹绞痛,黄疸,发热,胆绞痛|80
肝炎|乏力,纳差,黄疸,肝区隐痛,肝功能异常|80
肝硬化|乏力,食欲下降,黄疸,蜘蛛痣,腹水,脾大|85
肝癌|肝区隐痛或钝痛,黄疸,腹水,进行性消瘦,肝硬化背景|90
消化性溃疡|饥饿痛,上腹痛,夜间痛,进食缓解,反酸,烧心|88
胃溃疡|餐后痛,上腹痛,黑便,呕血|85
十二指肠溃疡|空腹痛,夜间痛,进食缓解,节律性发作|85
胃食管反流病|烧心,反酸,胸骨后不适或疼痛,餐后加重|70
胃炎|上腹隐痛,饱胀,嗳气,恶心,食欲减退|65
功能性消化不良|餐后饱胀,早饱感,上腹痛或烧灼感,无器质性病变|60
急性胃肠炎|腹泻,呕吐,腹痛,恶心,发热,水样便|65
肠梗阻|腹痛,呕吐,腹胀,肛门停止排便排气|90
肠结核|腹痛,腹泻与便秘交替,低热,盗汗,消瘦,PPD阳性|75
克罗恩病|慢性腹痛,腹泻,消瘦,瘘管形成,肠梗阻表现|80
溃疡性结肠炎|持续或反复腹泻,黏液脓血便,里急后重,腹痛|80
缺血性肠病|突发腹痛,便血,老年人,肠系膜血管供血不足|80
急性出血性坏死性肠炎|突发腹痛,腹泻,便血,发热,肠壁坏死|85
痔疮|便时带血,肛周肿物,疼痛或瘙痒|60
肛裂|便血,排便疼痛,肛门撕裂感,便秘,鲜血附着粪便表面|70
肛瘘|肛周反复流脓,肿痛,瘘管外口|75
结直肠癌|排便习惯改变,便血,腹痛,腹部肿块,贫血消瘦|85
胃癌|上腹疼痛,厌食,黑便,消瘦,左锁骨上淋巴结肿大|85
食管癌|进行性吞咽困难,胸骨后异物感|85
胰腺癌|进行性加重的无痛性黄疸,上腹饱胀,消瘦,疼痛|90
药物性肝损伤|乏力,纳差,黄疸,血清转氨酶显著升高,可疑用药史|75
非酒精性脂肪性肝病|肥胖或代谢综合征,超声肝回声增强,转氨酶轻中度升高|65
酒精性肝病|长期大量饮酒,肝大,黄疸,AST/ALT大于2|75
慢性胰腺炎|反复上腹痛,胰腺钙化,脂肪泻,继发糖尿病|75
胆囊息肉|超声示胆囊壁隆起病变,多为胆固醇性|60
食管裂孔疝|烧心,反酸,胸骨后痛,弯腰加重|70
贲门失弛缓症|吞咽困难,胸骨后梗阻感,食物反流|70
肠易激综合征|腹痛伴排便异常,腹泻便秘交替,排气后缓解|65

# 内分泌代谢
糖尿病|多饮,多尿,多食,消瘦,血糖升高,糖化血红蛋白|70
2型糖尿病|多饮,多尿,消瘦,血糖升高,并发症,周围神经病变,视网膜病变|70
糖尿病酮症酸中毒|恶心呕吐,深大呼吸,呼气烂苹果味,高血糖,酮体阳性|90
高渗高血糖状态|严重高血糖,无显著酮症,神经精神症状,极高血渗透压|90
糖尿病性视网膜病变|糖尿病史,视物模糊,眼底微血管瘤,出血渗出|75
糖尿病肾病|糖尿病史,蛋白尿,水肿,高血压,肾功能减退|75
糖尿病足|糖尿病史,足部溃疡,感染,坏疽|80
甲亢|怕热多汗,心悸手抖,多食消瘦,眼球突出,甲状腺肿|80
甲减|畏寒乏力,颜面水肿,反应迟钝,皮肤干燥,便秘|70
甲状腺炎|颈部甲状腺区疼痛,压痛,发热,血沉增快|75
甲状腺结节|甲状腺内肿块,超声TI-RADS分级,大多良性|65
甲状腺癌|甲状腺单发结节,质硬固定,声音嘶哑,颈部淋巴结转移|85
甲状腺肿|颈部增粗,甲状腺肿大,压迫症状|60
库欣综合征|向心性肥胖,满月脸,皮肤紫纹,高血压,多血质|75
原发性醛固酮增多症|高血压伴低血钾,乏力,夜尿增多,周期性麻痹|75
骨质疏松症|骨痛,身高缩短,驼背,轻微外伤即骨折|70
痛风|关节剧痛,红肿,第一跖趾,夜间突发,高尿酸血症,痛风石|85
急性痛风性关节炎|关节剧痛,红肿,第一跖趾,夜间突发,高尿酸血症|85
慢性痛风性关节炎|反复发作关节红肿热痛,痛风石形成|65
高尿酸血症|血尿酸升高,可无症状或发展为痛风|60
低血糖症|饥饿感,心慌,出汗,手抖,乏力,意识模糊|85
高脂血症|大多无症状,体检发现血脂升高,可伴黄色瘤|60
肥胖症|BMI大于等于28,腰围超标,常伴代谢异常|65
代谢综合征|血压高,血糖高,血脂异常,肥胖,腹围超标|70
甲状旁腺功能亢进症|高钙血症,骨痛,肾结石,消化性溃疡,情绪改变|75
肾上腺皮质功能减退症|皮肤黏膜色素沉着,乏力,低血压,纳差|80

# 泌尿系统
肾炎|血尿,蛋白尿,水肿,高血压,肾功能异常|75
肾病综合征|水肿,大量蛋白尿,低蛋白血症,高脂血症,泡沫尿|83
肾衰竭|少尿或无尿,水肿,血肌酐升高,尿毒症症状|90
尿毒症|恶心呕吐,乏力,贫血,出血倾向,神经精神症状|95
肾结石|突发腰腹部剧烈绞痛,血尿|85
肾囊肿|体检发现,无症状,超声无回声区|60
肾癌|无痛性血尿,腰痛,腹部肿块|80
膀胱炎|尿频,尿急,尿痛,下腹坠胀,尿常规白细胞增多|70
肾盂肾炎|寒战,高热,腰痛,明显尿路刺激征|80
急性肾损伤|少尿或无尿,水肿,血肌酐快速上升|90
慢性肾小球肾炎|持续性镜下血尿,蛋白尿,水肿,高血压|75
IgA肾病|上呼吸道感染后肉眼血尿,反复发作|75
间质性膀胱炎|耻骨上疼痛,膀胱充盈加剧,排尿后缓解|65
神经源性膀胱|排尿障碍,尿潴留或失禁,神经损伤基础|70
膀胱过度活动症|尿急为主,伴尿频和夜尿,无感染|60
前列腺增生|尿频,夜尿多,排尿费力,尿线细,尿不尽感|65
前列腺癌|排尿困难,血尿,PSA升高,骨痛|80
膀胱癌|间歇性无痛性全程肉眼血尿,可有血块|80
睾丸肿瘤|睾丸无痛性肿大,沉重感,质硬|80
精索静脉曲张|阴囊坠胀,蚯蚓状曲张静脉团,站立加重|60
附睾炎|单侧附睾肿痛,阴囊红肿,高热|75
鞘膜积液|阴囊内囊性肿物,透光试验阳性,无痛|60
尿路感染|尿频,尿急,尿痛,尿常规白细胞增多|70

# 血液系统
贫血|乏力,头晕,面色苍白,心悸,活动后气促|70
缺铁性贫血|苍白,乏力,反甲,异食癖,小细胞低色素性贫血|70
巨幼细胞性贫血|贫血伴舌炎,对称性肢端麻木,大细胞性贫血|70
再生障碍性贫血|全血细胞减少,贫血,出血,感染|85
白血病|发热,贫血,出血,骨关节痛,淋巴结肝脾肿大|90
急性白血病|高热,贫血,出血,感染,原始细胞增高|90
慢性白血病|巨脾,白细胞极度增高,Ph染色体阳性|85
淋巴瘤|无痛性进行性淋巴结肿大,发热,盗汗,消瘦|85
多发性骨髓瘤|骨痛,贫血,肾功能不全,反复感染,高钙血症|85
骨髓增生异常综合征|病态造血,贫血,出血,感染,原始细胞增高|80
血小板减少症|皮肤瘀斑,牙龈出血,鼻出血,血小板减少|80
免疫性血小板减少症|皮肤瘀斑,牙龈出血,鼻出血,血小板减少,紫癜,ITP|80
血友病|自幼反复关节肌肉深部出血,凝血异常|80
血管性血友病|皮肤黏膜出血,鼻出血,月经多,出血时间延长|75
过敏性紫癜|双下肢对称性可触性紫癜,关节痛,腹痛,血尿|80
真性红细胞增多症|多血质面容,脾大,血红蛋白和红细胞压积显著增高|75
原发性血小板增多症|血栓或出血倾向,血小板持续大于450,脾大|75
溶血性贫血|黄疸,贫血,酱油色尿,脾大|75
自身免疫性溶血性贫血|乏力,黄疸,酱油色尿,Coombs试验阳性|80
阵发性睡眠性血红蛋白尿|晨起酱油色尿,贫血,血栓形成|80
凝血功能障碍|出血倾向,凝血时间延长,PT/APTT异常|80
弥散性血管内凝血|广泛出血,休克,多器官衰竭,凝血指标异常|95

# 风湿免疫
类风湿关节炎|对称性多关节肿痛,晨僵大于1小时,关节畸形|80
系统性红斑狼疮|面部蝶形红斑,光过敏,口腔溃疡,多关节炎,多系统损害|85
强直性脊柱炎|慢性下腰痛,晨僵,活动后缓解,HLA-B27阳性|75
骨关节炎|关节活动时疼痛,休息缓解,远端指间结节,膝关节内翻|65
干燥综合征|口干,眼干,Schirmer试验,龋齿,自身抗体阳性|68
系统性硬化症|雷诺现象,皮肤肿胀硬化,面具脸,内脏纤维化|80
多发性肌炎|对称性近端肌无力,上眼睑紫红色皮疹,肌酶升高|80
皮肌炎|对称性近端肌无力,上眼睑紫红色皮疹,肌酶升高|80
血管炎|发热,乏力,皮疹,血尿,肺部结节,多系统受累|85
白塞病|反复口腔及外阴溃疡,眼炎,毛囊炎样皮疹|80
混合性结缔组织病|SLE硬皮病多肌炎重叠症状,抗U1RNP阳性|80
抗磷脂综合征|反复动静脉血栓,病态妊娠,血小板减少,抗磷脂抗体阳性|85
复发性多软骨炎|耳廓红肿,鼻软骨塌陷,多关节炎,气道受累|80
成人斯蒂尔病|高热,一过性皮疹,关节痛,白细胞显著升高|80
IgG4相关性疾病|多器官肿块或肿大,血清IgG4升高,淋巴浆细胞浸润|75
ANCA相关性血管炎|发热,乏力,皮疹,血尿,肺部结节,多系统受累|85
结节性多动脉炎|沿小动脉分布皮下结节,发热,腹痛,高血压,肾损害|85
痛风性关节炎|关节剧痛,红肿,第一跖趾,夜间突发,高尿酸血症|85

# 感染性疾病
流感|高热,全身肌肉酸痛,咽痛,咳嗽,传染性强|70
感冒|鼻塞流涕,咽痛,轻微咳嗽,无高热,自限|50
新冠|发热,干咳,乏力,嗅觉味觉减退,CT磨玻璃影|80
麻疹|发热,咳嗽,结膜炎,柯氏斑,皮疹|80
水痘|发热,成批丘疹水疱结痂,瘙痒|65
腮腺炎|腮腺及周围肿痛,发热|70
风疹|低热,淡红色斑丘疹,耳后枕后淋巴结肿大|65
手足口病|发热,手足口臀疱疹,口腔溃疡|70
猩红热|发热,咽痛,草莓舌,全身弥漫性红疹,口周苍白圈|75
百日咳|阵发性痉挛性咳嗽,鸡鸣样吸气回声|75
幼儿急疹|高热3-5天,热退疹出|65
轮状病毒肠炎|发热,呕吐,蛋花汤样便,脱水|75
细菌性痢疾|发热,阵发性腹痛,里急后重,黏液脓血便|80
伤寒|持续高热,相对缓脉,玫瑰疹,脾大,表情淡漠|80
疟疾|周期性寒战高热大汗,贫血脾大|85
狂犬病|恐水,怕风,咽肌痉挛,狂躁,意识障碍|95
破伤风|外伤后牙关紧闭,苦笑面容,角弓反张,肌肉强直痉挛|95
艾滋病|长期发热,淋巴结肿大,体重下降,反复机会性感染|85
病毒性肝炎|乏力,纳差,黄疸,肝区隐痛,肝功能异常|80
乙肝|HBsAg阳性,肝功能异常,慢性化|80
丙肝|抗HCV阳性,肝功能异常,易慢性化|80
梅毒|硬下疳,梅毒疹,多系统损害,TPPA/RPR阳性|80
淋病|尿道脓性分泌物,尿痛,女性宫颈炎|75
生殖器疱疹|生殖器簇集水疱,糜烂,灼痛,易复发,HSV感染|70
尖锐湿疣|肛周外生殖器菜花样疣状赘生物,HPV感染|65
软下疳|生殖器多发性痛性溃疡,腹股沟淋巴结肿大化脓|70
性病淋巴肉芽肿|小溃疡后腹股沟淋巴结肿大粘连破溃|75
登革热|高热,剧烈头痛,眼眶痛,肌肉关节痛,皮疹,白细胞减少|80
乙脑|夏秋季节,高热,意识障碍,抽搐,呼吸衰竭|90
流脑|高热,剧烈头痛,呕吐,皮肤瘀点,脑膜刺激征|95
钩端螺旋体病|发热,腓肠肌剧痛,结膜充血,淋巴结肿大|85
恙虫病|高热,焦痂,皮疹,淋巴结肿大|80
布鲁菌病|长期波状热,多汗,关节痛,牛羊接触史|80
肾综合征出血热|发热,出血倾向,低血压休克,肾损害|90
传染性单核细胞增多症|发热,咽峡炎,淋巴结肿大,肝脾大,异型淋巴细胞增高|75
川崎病|持续高热大于5天,结膜充血,杨梅舌,皮疹,颈淋巴结大|85

# 肿瘤
肺癌|刺激性干咳,痰中带血,胸痛,消瘦,肺占位|85
胃癌|上腹疼痛,厌食,黑便,消瘦|85
食管癌|进行性吞咽困难,胸骨后异物感|85
结直肠癌|排便习惯改变,便血,腹痛,腹部肿块,贫血消瘦|85
肝癌|肝区隐痛,黄疸,腹水,进行性消瘦,肝硬化背景|90
胰腺癌|进行性加重无痛性黄疸,上腹饱胀,消瘦,疼痛|90
乳腺癌|无痛性质硬肿块,边界不清,皮肤橘皮样,腋窝淋巴结肿大|85
宫颈癌|接触性出血,阴道排液腥臭|85
子宫内膜癌|绝经后阴道流血,异常子宫出血|80
卵巢癌|腹胀,腹部包块,腹水,消瘦|80
前列腺癌|排尿困难,血尿,PSA升高,骨痛|80
膀胱癌|间歇性无痛性全程肉眼血尿,可有血块|80
肾细胞癌|无痛性血尿,腰部疼痛,腹部肿块三联征|80
睾丸肿瘤|睾丸无痛性肿大,沉重感,质硬|80
甲状腺癌|甲状腺单发结节,质硬固定,声音嘶哑,颈部淋巴结转移|85
淋巴瘤|无痛性进行性淋巴结肿大,发热,盗汗,消瘦|85
多发性骨髓瘤|骨痛,贫血,肾功能不全,反复感染,高钙血症|85
白血病|发热,贫血,出血,骨关节痛,淋巴结肝脾肿大|90
脑膜瘤|慢性头痛,癫痫,局灶神经缺损,MRI均匀强化|75
垂体瘤|视力视野障碍,闭经泌乳,肢端肥大,内分泌异常|80
颅内肿瘤|缓慢加重的头痛,癫痫,局灶性神经功能缺损|85
骨肉瘤|青少年股骨下端或胫骨上端持续性疼痛肿块|90
骨转移瘤|骨痛,病理性骨折,原发肿瘤病史|85
基底细胞癌|面部慢性不愈溃疡,边缘珍珠状隆起,缓慢扩大|70
鳞状细胞癌|慢性溃疡或菜花样结节,边缘不规则,淋巴结转移|75
恶性黑色素瘤|色素痣快速增大,形状不对称,颜色不均,瘙痒破溃|90
皮肤癌|皮肤溃疡,结节,色素沉着,快速生长|75

# 妇产科
早孕|停经,恶心,晨吐,尿HCG阳性,乳房胀痛|85
妊娠|停经,HCG升高,超声见孕囊|85
异位妊娠|停经后不规则阴道流血,下腹痛,破裂时剧烈腹痛休克|95
宫外孕|停经,腹痛,阴道流血,附件区包块|95
流产|停经后阴道流血,腹痛,妊娠物排出|80
先兆流产|停经后阴道少量流血,阵发性下腹痛,宫颈口未开|80
早产|孕28-37周,规律宫缩,宫颈扩张|85
前置胎盘|无痛性阴道流血,孕晚期,超声胎盘覆盖宫颈内口|85
胎盘早剥|腹痛,阴道流血,子宫压痛,胎儿窘迫|90
子痫前期|孕20周后血压升高,蛋白尿,水肿|85
妊娠期高血压|孕20周后血压升高,无蛋白尿|75
妊娠期糖尿病|孕期OGTT异常,多无明显症状|75
胎儿窘迫|胎动减少,胎心异常,羊水污染|88
胎动减少|孕妇自觉胎动较前明显减少|85
胎膜早破|阴道流液,试纸变蓝,羊水结晶阳性|80
过期妊娠|孕周大于等于42周,胎盘功能减退,围产儿风险增加|75
产后出血|胎儿娩出后24小时内阴道流血超过500ml|90
产褥感染|产后发热,腹痛,恶露异常,子宫压痛|80
产后抑郁|产后情绪低落,兴趣减退,自责,影响照料婴儿|75
乳腺炎|哺乳期乳房红肿热痛,寒战高热|75
乳腺增生|乳房胀痛与结节,与月经周期相关,弥漫性团块感|65
乳腺纤维腺瘤|青年女性乳房无痛光滑活动硬韧肿块|65
乳腺癌|无痛性质硬肿块,边界不清,皮肤橘皮样,腋窝淋巴结肿大|85
子宫肌瘤|月经量多,经期延长,下腹包块,压迫症状|70
子宫腺肌病|进行性加重的痛经,月经量多,子宫均匀增大质硬|70
子宫内膜异位症|继发性进行性痛经,性交痛,不孕|70
卵巢囊肿|下腹不适或包块,扭转或破裂时突发剧烈腹痛|75
卵巢肿瘤|腹胀,腹部包块,腹水,消瘦|80
宫颈癌|接触性出血,阴道排液腥臭|85
子宫内膜癌|绝经后阴道流血,异常子宫出血|80
卵巢癌|腹胀,腹部包块,腹水,消瘦|80
多囊卵巢综合征|月经稀发或闭经,肥胖,多毛,痤疮,卵巢多囊样变|70
功能失调性子宫出血|月经周期紊乱,经量过多或经期延长|70
围绝经期综合征|潮热盗汗,情绪波动,睡眠障碍,月经紊乱|60
盆腔炎|下腹痛,发热,阴道脓性分泌物|80
阴道炎|白带异常,外阴瘙痒,异味|65
宫颈炎|白带增多,腰骶酸痛,宫颈糜烂样改变|60
前庭大腺囊肿|一侧大阴唇后下方肿痛包块,行走不便|70
痛经|经期下腹部痉挛性疼痛,无盆腔器质病变|55

# 儿科
新生儿黄疸|生后2-3天出现黄疸,一般状况好,自行消退|55
新生儿病理性黄疸|黄疸出现早或严重,消退延迟,直胆增高|75
新生儿肺炎|呼吸急促,口吐泡沫,发绀,肺部啰音|85
新生儿缺氧缺血性脑病|围生期窒息后意识肌张力反射异常|90
脑性瘫痪|出生前后脑损伤所致姿势异常和运动障碍|70
婴儿痉挛症|婴儿期成串点头鞠躬样痉挛发作,EEG高峰失律|85
小儿腹泻|大便次数增多,性状改变,可伴发热呕吐|70
佝偻病|夜惊,多汗,枕秃,方颅,骨骼改变|70
维生素D缺乏|骨痛,肌无力,儿童佝偻病,成人骨软化|65
高热惊厥|发热初期突发短暂抽搐,恢复快,无中枢感染|80
生长痛|学龄前儿童夜间下肢肌肉疼痛,无跛行,晨起正常|50
性早熟|女8男9岁前出现第二性征|75
遗尿症|大于5岁反复夜间不自主排尿|60
注意缺陷多动障碍|儿童注意力不集中,多动冲动,影响学业|65
抽动障碍|不自主反复快速的一个或多个部位肌肉抽动或发声|60
分离性焦虑障碍|与依恋对象分离时过度焦虑,影响社会功能|60
支气管肺炎|发热,咳嗽,气促,肺部固定细湿啰音|80
婴幼儿轮状病毒肠炎|发热,呕吐,蛋花汤样便,脱水|75
手足口病|发热,手足口臀疱疹,口腔溃疡|70
麻疹|发热,咳嗽,结膜炎,柯氏斑,皮疹|80
水痘|发热,成批丘疹水疱结痂,瘙痒|65
流行性腮腺炎|腮腺及周围肿痛,发热|70
猩红热|发热,咽痛,草莓舌,全身弥漫性红疹,口周苍白圈|75
幼儿急疹|高热3-5天,热退疹出|65
急性肾小球肾炎|前驱感染后水肿,血尿,蛋白尿,高血压|80

# 骨科运动系统
骨折|外伤后局部疼痛,肿胀,畸形,异常活动|85
腰椎间盘突出|腰痛伴下肢放射痛,麻木,直腿抬高试验阳性|75
颈椎病|颈背疼痛,椎间盘突出,手麻,肩背|75
肩周炎|肩关节疼痛,活动受限,夜间痛,无明确外伤|65
网球肘|肘外侧疼痛,握拳伸腕时加重|60
腱鞘炎|手指弹响,疼痛,活动受限,弹响指|60
腱鞘囊肿|腕背侧或掌侧囊性光滑肿物,可移动|55
滑囊炎|关节附近圆形包块,疼痛,有波动感|60
半月板损伤|膝关节疼痛,弹响,交锁,麦氏征阳性|75
交叉韧带损伤|膝关节外伤后不稳,抽屉试验阳性|80
踝关节扭伤|外踝肿胀疼痛,皮下瘀斑,行走困难|65
髌骨软化症|膝前痛,上下楼或久坐起立时明显|65
足底筋膜炎|晨起下地第一步足跟剧痛,稍活动后缓解|65
腰肌劳损|腰部隐痛酸胀,劳累后加重,休息后减轻|55
骨质疏松性骨折|轻微外伤即骨折,骨质疏松背景|80
骨软骨瘤|长骨干骺端骨性突起,无痛,恶变率低|60
骨肉瘤|青少年股骨下端或胫骨上端持续性疼痛肿块|90
骨转移瘤|骨痛,病理性骨折,原发肿瘤病史|85
化脓性骨髓炎|高热,局部红肿胀痛,分层穿刺阳性,骨质破坏|85
胸廓出口综合征|肩臂疼痛麻木,上肢无力,Adson试验阳性|65
腕管综合征|桡侧三指麻木疼痛,夜间加剧,Tinel征阳性|70
肘管综合征|尺侧一个半手指麻木,爪形手,Froment征阳性|70
四肢骨折|外伤后疼痛肿胀畸形,异常活动,骨擦感|85
关节脱位|关节畸形,弹性固定,关节盂空虚|85
脊柱骨折|外伤后脊柱疼痛,活动受限,可伴神经损伤|90
脊髓损伤|损伤平面以下感觉运动障碍,大小便功能障碍|95
软组织挫伤|外伤后局部肿胀疼痛,皮下瘀斑|60
挤压综合征|肌肉丰富部位长时间受压,肌红蛋白尿,急性肾损伤|90
脂肪栓塞|骨折后突发呼吸困难,意识障碍,皮肤瘀点|90

# 眼科
白内障|无痛性渐进性视力下降,晶状体混浊|70
青光眼|眼痛眼胀,视力减退,虹视,头痛恶心,眼压极高|90
急性闭角型青光眼|突发眼痛眼胀,视力减退,虹视,头痛恶心,眼压极高|90
结膜炎|眼红,异物感,分泌物增多,视力正常|60
角膜炎|眼痛,畏光,流泪,角膜混浊或溃疡|80
葡萄膜炎|眼红,畏光,流泪,睫状充血,房水闪辉|75
视神经炎|视力急剧下降,眼球转动痛,色觉减退|80
视网膜脱离|眼前黑影,闪光感,视力骤降,视野缺损|90
视网膜静脉阻塞|突发无痛性视力下降,眼底火焰状出血|80
糖尿病视网膜病变|糖尿病史,缓慢视力下降,眼底微血管瘤出血渗出|75
年龄相关性黄斑变性|中心视力下降,视物变形,视网膜黄斑区改变|75
干眼症|眼干涩,异物感,烧灼感,视物模糊|55
屈光不正|远近视力下降,眯眼,头痛,视疲劳|50
近视|远视力下降,眯眼,眼疲劳|50
远视|近视力下降,眼疲劳,头痛|50
散光|视物模糊,眼疲劳,头痛|50
翼状胬肉|睑裂部球结膜三角形纤维血管增生,可侵及角膜|55
结膜下出血|白睛下片状鲜红出血斑,无痛,自行吸收|45
老视|40岁后近视力模糊,阅读需放远,晶体调节力下降|50
眼睑内翻|睫毛摩擦角膜,眼磨痛,流泪,畏光|60
倒睫|睫毛向内生长,刺激角膜,眼磨痛流泪|60

# 耳鼻喉科
中耳炎|耳痛,耳流脓,听力下降,发热|82
分泌性中耳炎|耳闷胀感,听力下降,传导性聋,鼓室积液|65
化脓性中耳炎|耳痛,耳流脓,听力下降,鼓膜穿孔|82
航空性中耳炎|耳闷,航空旅行后,听力下降|70
梅尼埃病|反复眩晕,耳鸣,耳胀满感,波动性听力下降|75
突发性耳聋|单耳突然听力下降,可伴耳鸣眩晕|80
眩晕|天旋地转,恶心呕吐,平衡障碍|70
鼻炎|鼻塞,流涕,打喷嚏,鼻痒|60
鼻窦炎|鼻塞,黏脓涕,头面部胀痛,嗅觉减退|60
鼻出血|鼻腔鲜血流出,多来自鼻中隔李氏区|70
咽炎|咽部异物感,干痒,刺激性干咳|55
扁桃体炎|咽痛,发热,扁桃体红肿,脓点|75
腺样体肥大|儿童鼻塞,张口呼吸,打鼾,腺样体面容|70
喉炎|声音嘶哑,喉痛,咳嗽|70
